Timestamp,House
2022-04-21 03:43:37,Gryffindor
2021-11-29 19:14:56,Hufflepuff
2021-03-30 10:34:54,Ravenclaw
2022-04-06 01:23:31,Hufflepuff
2021-06-12 14:28:07,Ravenclaw
2022-09-30 12:03:58,Hufflepuff
2022-07-01 16:32:49,Gryffindor
2022-01-08 09:28:46,Ravenclaw
2022-02-16 20:22:46,Slytherin
2021-06-21 01:12:50,Ravenclaw
2022-10-23 19:25:30,Ravenclaw
2021-04-27 09:14:49,Slytherin
2021-12-17 07:17:40,Slytherin
2021-12-17 07:17:45,Slytherin
2022-04-30 10:23:01,Gryffindor
2022-08-18 10:00:15,Slytherin
2021-12-04 10:36:38,Ravenclaw
2022-08-21 00:34:26,Ravenclaw
2022-09-29 16:03:31,Slytherin
2021-05-11 12:25:04,Gryffindor
2021-07-28 05:31:21,Hufflepuff
2021-12-22 18:05:31,Hufflepuff
2021-09-03 18:06:00,Ravenclaw
2022-01-07 09:20:59,Slytherin
2021-03-09 01:09:47,Gryffindor
2022-06-27 06:28:26,Ravenclaw
2022-03-29 11:45:58,Gryffindor
2021-06-19 23:44:36,Ravenclaw
2021-03-03 14:50:04,Hufflepuff
2022-08-01 18:28:36,Hufflepuff
2021-12-11 02:43:02,Hufflepuff
2022-03-11 11:40:28,Slytherin
2022-02-06 08:05:10,Gryffindor
2022-04-09 16:14:38,Hufflepuff
2022-04-24 06:48:17,Ravenclaw
2022-06-16 09:21:17,Slytherin
2022-09-01 15:11:22,Ravenclaw
2022-10-12 20:01:50,Hufflepuff
2021-06-08 20:56:51,Slytherin
2022-09-01 23:40:05,Slytherin
2022-07-24 18:42:32,Slytherin
2021-11-15 03:14:45,Ravenclaw
2022-08-13 23:37:30,Hufflepuff
2022-09-30 16:50:08,Ravenclaw
2021-03-29 07:02:56,Slytherin
2022-06-17 07:05:40,Hufflepuff
2022-06-19 16:57:07,Gryffindor
2021-11-15 01:06:09,Slytherin
2021-04-02 19:58:25,Hufflepuff
2022-09-29 14:10:12,Gryffindor
2021-05-15 07:54:02,Ravenclaw
2022-03-29 15:04:58,Hufflepuff
2021-07-24 14:14:20,Hufflepuff
2021-05-23 14:32:20,Ravenclaw
2021-05-19 15:10:53,Hufflepuff
2021-08-01 21:49:28,Slytherin
2022-02-27 15:39:58,Ravenclaw
2022-05-22 22:32:45,Hufflepuff
2021-12-06 05:25:59,Slytherin
2021-12-31 08:31:49,Gryffindor
2022-03-28 16:53:41,Gryffindor
2021-08-21 18:45:23,Slytherin
2022-06-16 11:30:27,Hufflepuff
2022-05-10 00:25:06,Ravenclaw
2021-02-15 00:21:26,Ravenclaw
2021-04-15 19:03:13,Ravenclaw
2021-11-30 20:57:31,Ravenclaw
2021-11-03 11:06:45,Hufflepuff
2022-02-12 03:04:33,Ravenclaw
2021-04-07 02:38:12,Gryffindor
2022-09-12 18:27:55,Hufflepuff
2021-03-13 03:27:27,Ravenclaw
2021-08-13 11:06:24,Hufflepuff
2021-05-18 18:24:42,Hufflepuff
2021-02-05 13:58:56,Gryffindor
2021-11-04 19:08:11,Hufflepuff
2021-12-10 01:09:04,Gryffindor
2022-10-01 02:31:24,Slytherin
2021-02-23 21:39:21,Ravenclaw
2021-05-13 11:26:37,Ravenclaw
2022-09-15 20:27:00,Ravenclaw
2021-10-22 10:46:57,Ravenclaw
2022-06-25 22:03:02,Slytherin
2021-05-01 05:51:49,Hufflepuff
2021-12-07 23:31:53,Ravenclaw
2021-05-27 01:57:51,Hufflepuff
2021-12-28 14:57:30,Slytherin
2021-04-11 07:28:17,Gryffindor
2022-03-20 02:23:06,Hufflepuff
2021-02-05 07:25:29,Hufflepuff
2021-07-12 01:57:02,Hufflepuff
2021-04-30 07:55:57,Slytherin
2022-08-05 22:13:56,Gryffindor
2021-03-24 08:31:39,Hufflepuff
2022-08-22 04:24:58,Gryffindor
2022-02-23 01:36:34,Gryffindor
2022-10-19 13:45:55,Hufflepuff
2021-10-30 21:15:52,Hufflepuff
2022-04-26 23:11:32,Slytherin
2021-12-23 19:44:18,Slytherin
2021-02-08 21:45:59,Hufflepuff
2022-08-16 03:29:15,Gryffindor
2022-08-24 16:37:11,Gryffindor
2022-05-15 10:38:38,Hufflepuff
2022-03-03 17:21:39,Gryffindor
2022-05-30 13:42:07,Slytherin
2021-05-08 19:55:31,Gryffindor
2022-10-06 23:03:11,Gryffindor
2021-07-23 20:11:46,Gryffindor
2021-04-23 19:09:14,Ravenclaw
2021-04-13 00:20:22,Gryffindor
2022-02-08 10:41:36,Gryffindor
2022-01-21 16:36:19,Gryffindor
2022-05-01 21:39:33,Ravenclaw
2021-02-12 08:10:37,Hufflepuff
2021-11-20 18:21:18,Gryffindor
2022-09-21 09:59:45,Ravenclaw
2021-10-02 00:42:25,Slytherin
2022-09-06 18:24:43,Gryffindor
2022-06-02 23:28:39,Slytherin
2021-04-09 13:51:08,Ravenclaw
2021-02-24 04:35:28,Hufflepuff
2022-07-18 12:32:46,Hufflepuff
2021-09-24 02:15:23,Hufflepuff
2022-03-17 19:05:25,Ravenclaw
2022-05-16 09:36:28,Ravenclaw
2021-08-02 18:11:26,Ravenclaw
2021-08-11 12:32:09,Ravenclaw
2021-10-01 18:05:10,Slytherin
2021-07-12 05:02:30,Hufflepuff
2021-11-01 07:04:16,Slytherin
2022-04-03 01:29:19,Hufflepuff
2021-06-04 22:49:18,Ravenclaw
2021-05-15 22:23:08,Gryffindor
2021-11-04 20:13:52,Gryffindor
2021-11-29 18:01:32,Slytherin
2022-06-22 15:49:34,Slytherin
2021-12-14 08:13:49,Gryffindor
2021-07-04 09:17:05,Hufflepuff
2021-07-28 19:51:03,Slytherin
2021-04-12 23:01:56,Hufflepuff
2022-10-13 02:08:50,Ravenclaw
2022-09-23 11:23:13,Slytherin
2021-09-10 12:31:54,Ravenclaw
2022-02-14 03:38:40,Gryffindor
2022-04-12 15:47:21,Hufflepuff
2022-07-30 19:19:40,Gryffindor
2022-10-18 21:03:10,Gryffindor
2021-09-09 12:12:00,Slytherin
2021-02-04 12:59:05,Hufflepuff
2021-03-15 06:18:23,Hufflepuff
2022-05-28 12:31:43,Ravenclaw
2022-02-19 15:04:43,Hufflepuff
2021-04-24 02:27:13,Gryffindor
2021-04-11 17:20:48,Ravenclaw
2021-08-28 09:21:16,Ravenclaw
2021-08-08 00:49:17,Hufflepuff
2022-07-30 07:13:01,Ravenclaw
2021-11-14 13:17:56,Hufflepuff
2022-07-04 20:57:24,Ravenclaw
2021-04-25 22:32:06,Ravenclaw
2021-06-23 11:08:24,Slytherin
2021-12-05 16:05:44,Gryffindor
2021-03-24 15:11:00,Slytherin
2022-08-21 22:03:30,Hufflepuff
2022-05-15 10:46:17,Slytherin
2021-05-21 22:13:49,Ravenclaw
2022-02-19 08:58:49,Slytherin
2021-02-05 18:31:42,Ravenclaw
2021-08-25 08:05:20,Ravenclaw
2021-05-25 01:50:22,Hufflepuff
2022-04-28 17:36:54,Gryffindor
2021-11-10 04:05:46,Slytherin
2022-03-31 11:24:45,Slytherin
2022-07-11 18:33:11,Gryffindor
2022-03-03 02:08:29,Gryffindor
2021-07-14 19:26:05,Ravenclaw
2022-07-07 22:45:23,Gryffindor
2022-07-09 07:54:22,Slytherin
2021-07-05 03:39:23,Hufflepuff
2022-10-24 14:18:45,Ravenclaw
2022-09-17 13:25:42,Hufflepuff
2021-08-28 00:38:48,Gryffindor
2022-07-21 23:25:35,Hufflepuff
2021-07-06 07:02:26,Ravenclaw
